location,request,mode,time_step,quntantile,value,objective,Power,e_loc1,e_loc2,e_loc3,base_a1,base_a2,base_a3,base_a4,base_b1,base_b2,base_b3,base_b4
loc1,req2,mode4,0,y_0,1.0,2968552523.0942135,1020.23,"[2500.760436, 752.537504, 871.745195, 1513.516732, 2996.052129, 9067.370838]","[1046.947673, 868.995127, 575.246358, 4140.519671, -3679.90144, -8353.178768]","[1977.782906, 751.22693, 924.321282, 2634.911326, 448.64341, 440.436555]","[1.1, 0.9, 1.0, 1.3, 1.3, 0.9]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.2, 13.3, 13.8, 13.0, 14.2, 13.1]","[1.7, 1.5, 1.9, 1.6, 1.8, 1.6]","[0.4, 0.2, 0.0, 0.4, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[11.9, 12.7, 12.5, 12.0, 12.0, 11.4]","[3.6, 3.7, 3.9, 3.7, 3.5, 3.7]"
loc2,req1,mode1,0,y_0,1.0,2968552523.0942135,745.5996923,"[2500.760436, 752.537504, 871.745195, 1513.516732, 2996.052129, 9067.370838]","[1046.947673, 868.995127, 575.246358, 4140.519671, -3679.90144, -8353.178768]","[1977.782906, 751.22693, 924.321282, 2634.911326, 448.64341, 440.436555]","[1.1, 0.9, 1.0, 1.3, 1.3, 0.9]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.2, 13.3, 13.8, 13.0, 14.2, 13.1]","[1.7, 1.5, 1.9, 1.6, 1.8, 1.6]","[0.4, 0.2, 0.0, 0.4, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[11.9, 12.7, 12.5, 12.0, 12.0, 11.4]","[3.6, 3.7, 3.9, 3.7, 3.5, 3.7]"
loc2,req3,mode1,0,y_0,1.0,2968552523.0942135,747.2272727,"[2500.760436, 752.537504, 871.745195, 1513.516732, 2996.052129, 9067.370838]","[1046.947673, 868.995127, 575.246358, 4140.519671, -3679.90144, -8353.178768]","[1977.782906, 751.22693, 924.321282, 2634.911326, 448.64341, 440.436555]","[1.1, 0.9, 1.0, 1.3, 1.3, 0.9]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.2, 13.3, 13.8, 13.0, 14.2, 13.1]","[1.7, 1.5, 1.9, 1.6, 1.8, 1.6]","[0.4, 0.2, 0.0, 0.4, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[11.9, 12.7, 12.5, 12.0, 12.0, 11.4]","[3.6, 3.7, 3.9, 3.7, 3.5, 3.7]"
loc2,req3,mode2,0,y_0,2.0,2968552523.0942135,1472.297377,"[2500.760436, 752.537504, 871.745195, 1513.516732, 2996.052129, 9067.370838]","[1046.947673, 868.995127, 575.246358, 4140.519671, -3679.90144, -8353.178768]","[1977.782906, 751.22693, 924.321282, 2634.911326, 448.64341, 440.436555]","[1.1, 0.9, 1.0, 1.3, 1.3, 0.9]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.2, 13.3, 13.8, 13.0, 14.2, 13.1]","[1.7, 1.5, 1.9, 1.6, 1.8, 1.6]","[0.4, 0.2, 0.0, 0.4, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[11.9, 12.7, 12.5, 12.0, 12.0, 11.4]","[3.6, 3.7, 3.9, 3.7, 3.5, 3.7]"
loc3,req4,mode3,0,y_0,1.0,2968552523.0942135,2201.83,"[2500.760436, 752.537504, 871.745195, 1513.516732, 2996.052129, 9067.370838]","[1046.947673, 868.995127, 575.246358, 4140.519671, -3679.90144, -8353.178768]","[1977.782906, 751.22693, 924.321282, 2634.911326, 448.64341, 440.436555]","[1.1, 0.9, 1.0, 1.3, 1.3, 0.9]","[0.1, 0.1, 0.1, 0.0, 0.1, 0.0]","[13.2, 13.3, 13.8, 13.0, 14.2, 13.1]","[1.7, 1.5, 1.9, 1.6, 1.8, 1.6]","[0.4, 0.2, 0.0, 0.4, 0.1, 0.0]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[11.9, 12.7, 12.5, 12.0, 12.0, 11.4]","[3.6, 3.7, 3.9, 3.7, 3.5, 3.7]"
loc1,req1,mode1,1,y_0,1.0,14789610760.894718,745.5996923,"[843.787533, 803.7378, 870.019789, 2349.960564, 894.952066, 1925.106262]","[793.167728, 768.664534, 801.528195, 732.019797, 825.272469, 928.743146]","[777.167497, 740.257708, 803.97907, 1763.186985, 832.678272, 2142.839234]","[1.0, 1.1, 1.0, 1.1, 1.0, 0.8]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.0]","[13.8, 16.0, 14.4, 14.4, 14.5, 14.4]","[1.7, 2.9, 1.9, 1.8, 1.7, 2.1]","[0.2, 0.1, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[12.4, 13.2, 12.8, 13.4, 13.3, 13.0]","[3.7, 6.8, 3.8, 3.9, 3.9, 4.3]"
loc1,req2,mode4,1,y_0,1.0,14789610760.894718,1020.23,"[843.787533, 803.7378, 870.019789, 2349.960564, 894.952066, 1925.106262]","[793.167728, 768.664534, 801.528195, 732.019797, 825.272469, 928.743146]","[777.167497, 740.257708, 803.97907, 1763.186985, 832.678272, 2142.839234]","[1.0, 1.1, 1.0, 1.1, 1.0, 0.8]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.0]","[13.8, 16.0, 14.4, 14.4, 14.5, 14.4]","[1.7, 2.9, 1.9, 1.8, 1.7, 2.1]","[0.2, 0.1, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[12.4, 13.2, 12.8, 13.4, 13.3, 13.0]","[3.7, 6.8, 3.8, 3.9, 3.9, 4.3]"
loc2,req3,mode2,1,y_0,1.0,14789610760.894718,1472.297377,"[843.787533, 803.7378, 870.019789, 2349.960564, 894.952066, 1925.106262]","[793.167728, 768.664534, 801.528195, 732.019797, 825.272469, 928.743146]","[777.167497, 740.257708, 803.97907, 1763.186985, 832.678272, 2142.839234]","[1.0, 1.1, 1.0, 1.1, 1.0, 0.8]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.0]","[13.8, 16.0, 14.4, 14.4, 14.5, 14.4]","[1.7, 2.9, 1.9, 1.8, 1.7, 2.1]","[0.2, 0.1, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[12.4, 13.2, 12.8, 13.4, 13.3, 13.0]","[3.7, 6.8, 3.8, 3.9, 3.9, 4.3]"
loc2,req3,mode3,1,y_0,1.0,14789610760.894718,2688.76,"[843.787533, 803.7378, 870.019789, 2349.960564, 894.952066, 1925.106262]","[793.167728, 768.664534, 801.528195, 732.019797, 825.272469, 928.743146]","[777.167497, 740.257708, 803.97907, 1763.186985, 832.678272, 2142.839234]","[1.0, 1.1, 1.0, 1.1, 1.0, 0.8]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.0]","[13.8, 16.0, 14.4, 14.4, 14.5, 14.4]","[1.7, 2.9, 1.9, 1.8, 1.7, 2.1]","[0.2, 0.1, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[12.4, 13.2, 12.8, 13.4, 13.3, 13.0]","[3.7, 6.8, 3.8, 3.9, 3.9, 4.3]"
loc3,req4,mode3,1,y_0,1.0,14789610760.894718,2201.83,"[843.787533, 803.7378, 870.019789, 2349.960564, 894.952066, 1925.106262]","[793.167728, 768.664534, 801.528195, 732.019797, 825.272469, 928.743146]","[777.167497, 740.257708, 803.97907, 1763.186985, 832.678272, 2142.839234]","[1.0, 1.1, 1.0, 1.1, 1.0, 0.8]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.0]","[13.8, 16.0, 14.4, 14.4, 14.5, 14.4]","[1.7, 2.9, 1.9, 1.8, 1.7, 2.1]","[0.2, 0.1, 0.0, 0.2, 0.2, 0.0]","[0.1, 0.0, 0.1, 0.1, 0.1, 0.1]","[12.4, 13.2, 12.8, 13.4, 13.3, 13.0]","[3.7, 6.8, 3.8, 3.9, 3.9, 4.3]"
